timestamp,sensor_distance,sensor_accel,sensor_photo,sensor_light,sensor_pyro
2026-04-24T00:31:56,2,322,3,158,0
2026-04-24T00:31:56,4,322,2,158,0
2026-04-24T00:31:56,3,323,2,158,0
2026-04-24T00:31:56,2,321,2,159,0
2026-04-24T00:31:56,3,322,2,159,0
2026-04-24T00:31:56,4,322,2,158,0
2026-04-24T00:31:56,3,323,3,158,0
2026-04-24T00:31:56,3,322,3,158,0
2026-04-24T00:31:56,3,321,2,158,0
2026-04-24T00:31:56,2,322,2,158,0
2026-04-24T00:31:56,3,321,3,158,0
2026-04-24T00:31:56,2,322,2,159,0
2026-04-24T00:31:56,5,322,4,159,0
2026-04-24T00:31:56,3,321,2,157,0
2026-04-24T00:31:56,2,322,3,157,0
2026-04-24T00:31:56,3,321,1,158,0
2026-04-24T00:31:56,2,322,2,159,0
2026-04-24T00:31:56,3,321,2,158,0
2026-04-24T00:31:56,3,321,2,158,0
2026-04-24T00:31:57,4,322,2,159,0
2026-04-24T00:31:57,4,321,2,159,0
2026-04-24T00:31:57,3,321,4,159,0
2026-04-24T00:31:57,2,321,4,159,0
2026-04-24T00:31:57,3,321,2,158,0
2026-04-24T00:31:57,1,322,3,158,0
2026-04-24T00:31:57,2,322,3,159,0
2026-04-24T00:31:57,3,323,2,159,0
2026-04-24T00:31:57,3,321,3,159,0
2026-04-24T00:31:57,2,321,3,159,0
2026-04-24T00:31:58,3,321,2,159,0
2026-04-24T00:31:58,2,322,3,159,0
2026-04-24T00:31:58,0,321,2,159,0
2026-04-24T00:31:58,3,321,3,159,0
2026-04-24T00:31:58,3,321,3,159,0
2026-04-24T00:31:58,3,322,3,158,0
2026-04-24T00:31:58,3,321,3,159,0
2026-04-24T00:31:58,4,322,3,159,0
2026-04-24T00:31:58,1,322,3,159,0
2026-04-24T00:31:58,2,320,2,159,0
2026-04-24T00:31:59,4,322,4,159,0
2026-04-24T00:31:59,2,320,2,160,0
2026-04-24T00:31:59,2,321,2,158,0
2026-04-24T00:31:59,2,322,2,159,0
2026-04-24T00:31:59,1,321,2,159,0
2026-04-24T00:31:59,3,322,2,159,0
2026-04-24T00:31:59,3,322,3,158,0
2026-04-24T00:31:59,2,322,3,159,0
2026-04-24T00:31:59,3,321,3,159,0
2026-04-24T00:32:00,2,322,3,159,0
2026-04-24T00:32:00,5,321,3,158,0
2026-04-24T00:32:00,1,323,3,158,0
2026-04-24T00:32:00,3,321,3,157,0
2026-04-24T00:32:00,2,323,2,159,0
2026-04-24T00:32:00,3,322,3,159,0
